timestamp,Cheat / Cheater / Cheating,DEI / Woke,Midnight Hammer,Supreme Court,The State of The / Our Union is Strong,Autopen / Auto Pen,Discombobulator,DOGE / Department of Government Efficiency,Ethereum,Fake News,Golden Dome,Rare Earth / Mineral,TDS / Trump Derangement Syndrome,250,Affordability,AI / Artificial Intelligence,Alien,Cartel,Drill Baby Drill,Egg,Eight War,Fentanyl / Cocaine,Foster,Fraud,Hockey,Hottest,ICE / National Guard,Mental Institution,No No No,Nuclear,Olympics / World Cup,Somali / Somalia / Somalian,Stock Market,Trillion,Trump,TrumpRX / TrumpRX.gov,Woke / DEI,Ballroom,Cancer,Coal,Crypto / Bitcoin,Genius Act,Highest Inflation,Hoax,Insurrection Act,MAHA / Make America Healthy Again,Martial Law,Nationalize / Nationalized,Radical Left,SAVE Act,Sleepy Joe,Transgender,UFC,Vaccine / Autism,Windmill
2026-02-24T01:00:00Z,45.34,66.35,65.74,77.96,70.69,31.84,10.00,16.60,3.24,51.21,54.52,75.91,21.34,90.03,66.14,,86.91,79.19,45.46,,76.56,84.14,33.62,88.02,86.67,84.16,85.43,58.84,,81.60,88.90,46.27,,93.05,89.74,82.17,66.42,53.09,,,25.99,22.97,43.86,38.72,,64.26,,,73.65,,31.18,64.36,30.91,37.09,33.02
2026-02-24T02:00:00Z,46.66,66.34,65.73,77.22,70.88,31.02,9.68,16.62,3.38,51.15,55.84,74.83,21.82,90.64,67.32,,85.93,81.90,45.68,,76.11,83.40,26.32,88.15,88.94,84.00,85.85,59.79,,81.65,88.43,47.39,,93.31,90.91,82.71,66.67,55.02,,,25.76,22.69,44.17,39.65,,64.25,,,73.67,,31.25,64.47,30.41,42.95,35.53
2026-02-24T03:00:00Z,46.39,65.57,66.53,77.83,70.90,30.47,9.65,16.44,2.99,51.16,56.16,74.98,20.80,93.01,70.37,,85.15,84.19,44.32,,76.97,84.20,26.68,88.79,87.46,84.52,85.75,58.35,,83.09,89.96,47.69,,93.91,90.22,85.17,66.75,58.16,,,25.95,22.38,46.00,39.28,,63.55,,,73.68,,29.71,64.51,29.82,40.77,35.16
2026-02-24T04:00:00Z,46.29,65.92,65.04,77.18,69.93,30.38,9.89,15.95,3.45,49.39,56.25,75.67,19.01,94.73,71.81,,84.41,83.52,44.62,,76.07,84.64,34.42,88.21,89.74,84.10,85.42,58.77,,83.42,90.48,48.99,,93.16,91.42,88.78,66.76,57.21,,,25.87,23.96,47.48,39.02,,64.04,,,73.87,,31.24,64.16,30.11,41.70,34.64
2026-02-24T05:00:00Z,43.54,65.99,64.58,76.73,69.08,30.54,9.19,15.99,3.50,51.53,55.04,75.60,20.22,94.28,70.58,,85.17,82.58,43.34,,76.19,83.87,37.60,88.21,88.19,84.14,85.31,58.14,,83.57,89.11,48.50,,94.01,90.68,87.21,66.24,53.73,,,26.15,24.93,46.50,39.63,,63.78,,,73.99,,31.67,64.23,30.48,42.30,33.23
2026-02-24T06:00:00Z,43.52,65.89,65.70,73.03,68.81,30.59,9.61,16.42,3.40,52.66,55.46,74.60,19.08,93.98,69.34,,85.33,81.95,42.35,,76.17,83.21,38.02,88.68,85.87,84.12,85.94,58.64,,83.02,89.09,47.80,,94.11,90.20,88.29,66.74,51.77,,,26.97,26.08,45.51,40.40,,62.11,,,73.97,,31.35,64.12,30.79,41.17,32.65
2026-02-24T07:00:00Z,44.39,65.60,65.96,72.99,69.12,30.45,8.92,16.41,3.98,52.71,55.86,76.26,19.05,94.73,70.74,,85.07,79.01,42.43,,76.59,84.16,37.70,88.22,84.77,85.12,85.99,59.20,,81.96,88.36,47.42,,94.28,90.90,86.05,66.73,52.52,,,26.68,27.07,45.92,39.94,,62.06,,,73.74,,31.30,62.69,30.08,42.54,32.00
2026-02-24T08:00:00Z,44.66,65.80,65.09,73.99,69.00,30.61,8.99,17.36,3.94,51.69,53.82,77.00,19.36,94.66,70.87,,85.83,76.83,41.78,,78.23,84.19,37.99,88.36,85.54,85.21,86.03,59.04,,82.12,86.19,47.80,,93.49,90.12,86.64,66.25,52.38,,,26.99,27.00,45.86,39.10,,62.96,,,71.30,,31.32,63.23,29.42,41.48,32.82
2026-02-24T09:00:00Z,43.81,66.02,65.06,73.85,68.95,30.17,8.97,17.55,3.41,51.07,53.96,77.00,18.92,94.00,69.50,,85.07,77.67,41.44,,77.35,84.89,37.99,88.76,87.72,84.57,85.98,60.60,,82.84,84.59,47.71,,93.49,90.01,85.79,67.00,52.51,,,26.29,25.65,45.92,39.81,,60.60,,,70.91,,29.76,63.58,29.66,40.47,32.24
2026-02-24T10:00:00Z,44.00,66.89,64.42,73.90,69.36,31.00,8.40,16.68,3.10,51.59,52.71,77.00,19.28,94.00,70.12,,85.01,77.30,41.44,,77.03,84.20,39.00,89.00,88.62,85.33,86.02,59.84,,82.54,88.39,47.75,,93.00,90.35,85.01,67.00,52.95,,,26.98,27.00,45.91,40.00,,60.67,,,71.00,,31.00,63.01,29.14,39.88,33.00
